bmt_id,do_id
3633.0,doid:0060264
3024.0,doid:678
365.0,doid:676
603.0,doid:6543
588.0,doid:631
3340.0,doid:6039
634.0,doid:594
2954.0,doid:543
170.0,doid:5419
273.0,doid:5041
3627.0,doid:4990
3326.0,doid:4989
580.0,doid:4607
236.0,doid:4481
3084.0,doid:4480
255.0,doid:4362
2898.0,doid:4327
457.0,doid:419
455.0,doid:399
3585.0,doid:3965
3378.0,doid:3803
388.0,doid:3770
677.0,doid:3627
663.0,doid:350
306.0,doid:3491
3351.0,doid:3490
3082.0,doid:3413
3646.0,doid:3405
267.0,doid:3393
3595.0,doid:3322
168.0,doid:3312
2026.0,doid:3284
353.0,doid:3265
700.0,doid:3012
281.0,doid:2998
349.0,doid:289
328.0,doid:285
72.0,doid:2841
657.0,doid:2730
3241.0,doid:255
196.0,doid:2531
680.0,doid:2449
224.0,doid:2394
375.0,doid:2355
495.0,doid:2326
3332.0,doid:2280
2976.0,doid:2211
3004.0,doid:2048
650.0,doid:1936
3640.0,doid:1932
277.0,doid:1926
549.0,doid:1924
221.0,doid:1909
684.0,doid:184
220.0,doid:1793
449.0,doid:178
313.0,doid:162
214.0,doid:1612
188.0,doid:1588
518.0,doid:1574
647.0,doid:1555
3369.0,doid:14793
3634.0,doid:14654
139.0,doid:1459
632.0,doid:14504
3347.0,doid:14495
2776.0,doid:14261
2671.0,doid:14250
2997.0,doid:14213
1472.0,doid:13938
639.0,doid:13709
3658.0,doid:13636
540.0,doid:13533
3576.0,doid:13482
2879.0,doid:13378
705.0,doid:13316
2964.0,doid:13268
2896.0,doid:13258
539.0,doid:13189
315.0,doid:1307
670.0,doid:12894
296.0,doid:12858
2878.0,doid:12842
3657.0,doid:12704
2955.0,doid:12700
189.0,doid:12450
3247.0,doid:12449
3065.0,doid:12377
467.0,doid:12365
3103.0,doid:12306
512.0,doid:12259
2841.0,doid:12143
3229.0,doid:1206
708.0,doid:11983
676.0,doid:11963
230.0,doid:11934
3616.0,doid:1184
578.0,doid:0050847
257.0,doid:0050840
1506.0,doid:11335
3664.0,doid:11260
2557.0,doid:11199
3659.0,doid:11198
610.0,doid:1115
3417.0,doid:10983
576.0,doid:10923
704.0,doid:10844
699.0,doid:10762
1560.0,doid:1064
2304.0,doid:10608
3574.0,doid:10595
2731.0,doid:10588
2351.0,doid:10581
215.0,doid:10283
3638.0,doid:10241
295.0,doid:1024
377.0,doid:10223
697.0,doid:1019
729.0,doid:10159
3645.0,doid:10126
655.0,doid:0050782
3070.0,doid:0050731
3179.0,doid:0050459
3586.0,doid:0080540
3624.0,doid:0050439
3317.0,doid:0050426
1471.0,doid:0080365
334.0,doid:0080322
348.0,doid:0080178
3111.0,doid:0080162
392.0,doid:0060851
3606.0,doid:0060768
135.0,doid:9970
674.0,doid:9884
733.0,doid:986
2983.0,doid:9849
3602.0,doid:9821
528.0,doid:9682
561.0,doid:9563
3001.0,doid:9275
3505.0,doid:9270
3649.0,doid:9269
735.0,doid:9266
570.0,doid:9263
3587.0,doid:9245
3656.0,doid:9169
625.0,doid:9120
458.0,doid:9065
433.0,doid:8986
155.0,doid:8893
584.0,doid:8881
156.0,doid:8778
660.0,doid:8736
225.0,doid:8632
710.0,doid:8616
204.0,doid:8567
3596.0,doid:8506
621.0,doid:824
2936.0,doid:811
1455.0,doid:799
3243.0,doid:3981
3355.0,doid:643
3588.0,doid:0070221
3329.0,doid:13374
246.0,doid:1094
394.0,doid:0060284
381.0,doid:10772
73.0,doid:3083
3622.0,doid:1312
592.0,doid:13223
2951.0,doid:8670
3623.0,doid:3635
2864.0,doid:14503
3238.0,doid:12120
3578.0,doid:0050811
3652.0,doid:0050440
325.0,doid:0050424
3469.0,doid:0060643
515.0,doid:2945
2886.0,doid:0050214
3414.0,doid:2702
193.0,doid:332
3364.0,doid:12721
2051.0,doid:10933
387.0,doid:0050156
695.0,doid:3507
3615.0,doid:0080188
644.0,doid:8534
2863.0,doid:3210
169.0,doid:14320
199.0,doid:9952
282.0,doid:9074
3089.0,doid:0060318
3054.0,doid:2224
659.0,doid:2055
3132.0,doid:0111165
626.0,doid:9253
3620.0,doid:11723
683.0,doid:0080547
464.0,doid:0050589
686.0,doid:999
2872.0,doid:12347
664.0,doid:3753
167.0,doid:1470
550.0,doid:0080832
3647.0,doid:718
875.0,doid:13413
3590.0,doid:2747
3626.0,doid:13832
206.0,doid:0050908
3394.0,doid:0080354
435.0,doid:9778
582.0,doid:8544
3677.0,doid:11612
154.0,doid:7148
336.0,doid:9008
556.0,doid:14735
3653.0,doid:0111147
668.0,doid:11823
581.0,doid:10605
3094.0,doid:0050746
153.0,doid:2377
194.0,doid:14330
141.0,doid:10652
321.0,doid:8577
469.0,doid:437
3053.0,doid:8997
3621.0,doid:8712
493.0,doid:12800
590.0,doid:0050744
207.0,doid:9538
619.0,doid:0060041
213.0,doid:9256
74.0,doid:1485
191.0,doid:9281
3052.0,doid:4971
343.0,doid:13543
3087.0,doid:3315
3123.0,doid:9470
2893.0,doid:12554
417.0,doid:0060061
259.0,doid:783
690.0,doid:8866
3358.0,doid:13317
2663.0,doid:12531
368.0,doid:5408
3056.0,doid:0080217
2826.0,doid:12705
3366.0,doid:0111157
734.0,doid:893
423.0,doid:612
3233.0,doid:3652
274.0,doid:14499
579.0,doid:0050425
3165.0,doid:3151
3160.0,doid:5213
3388.0,doid:0111225
3484.0,doid:0050117
3611.0,doid:0060478
256.0,doid:8587
3224.0,doid:446
637.0,doid:446
3357.0,doid:2741
3660.0,doid:0050801
3639.0,doid:1441
3246.0,doid:14110
3356.0,doid:13375
389.0,doid:13241
3168.0,doid:12918
511.0,doid:12134
217.0,doid:11054
223.0,doid:10535
3303.0,doid:0111592
3598.0,doid:0050466
649.0,doid:8925
3349.0,doid:0050523
3318.0,doid:3067
198.0,doid:8552
97.0,doid:9119
3315.0,doid:1239
737.0,doid:8677
3112.0,doid:0050445
160.0,doid:1876
3327.0,doid:0050750
211.0,doid:3908
2956.0,doid:3911
3217.0,doid:11119
335.0,doid:2753
3037.0,doid:0111987
200.0,doid:6354
411.0,doid:11259
3632.0,doid:1686
424.0,doid:11701
2128.0,doid:0050535
216.0,doid:263
3116.0,DOID:0050136
3095.0,DOID:0050745
3097.0,DOID:0050749
205.0,DOID:0060060
3447.0,DOID:0080422
86.0,DOID:10273
2875.0,DOID:10584
685.0,DOID:11162
181.0,DOID:1287
3582.0,DOID:13087
228.0,DOID:1319
278.0,DOID:1686|DOID:9282
347.0,DOID:1800
272.0,DOID:1826
3009.0,DOID:2234
145.0,DOID:2316
360.0,DOID:2513
560.0,DOID:303
386.0,DOID:3044
506.0,DOID:3146
180.0,DOID:417
78.0,DOID:526
111.0,DOID:5409
288.0,DOID:6364
3328.0,DOID:8584
137.0,DOID:9352
157.0,DOID:9744
152.0,DOID:1205
3654.0,DOID:13372
3008.0,DOID:0050561
2905.0,DOID:0050817
3637.0,DOID:0080933
3591.0,DOID:0111394
2982.0,DOID:0111395
635.0,DOID:11257
648.0,DOID:11968
3373.0,DOID:12361
396.0,DOID:12799
3592.0,DOID:12801
289.0,DOID:12802
3115.0,DOID:12803
2762.0,DOID:12804
2719.0,DOID:13515
3244.0,DOID:13839
532.0,DOID:1781
3593.0,DOID:2222
2918.0,DOID:2994
688.0,DOID:4325
182.0,DOID:28
233.0,DOID:2468
234.0,DOID:1579
242.0,DOID:11476
245.0,DOID:6432
249.0,DOID:8398
385.0,DOID:3310
3090.0,DOID:10587
3092.0,DOID:0050638
3239.0,DOID:1116
3371.0,DOID:12361
3548.0,DOID:0060224
3666.0,DOID:11984
2962.0,doid:705
3377.0,doid:0060161
3342.0,doid:14791
401.0,doid:12052
412.0,doid:11339
